id,startup_id,vc_id,round_type,amount,date,valuation,lead_investor
investment_45,startup_15,vc_61,Series B,9086882,2015-07-19,299867117,False
investment_46,startup_15,vc_128,Series C,9086882,2015-07-19,272606470,False
investment_47,startup_15,vc_101,Pre-seed,18636136,2021-11-28,260905911,True
investment_48,startup_15,vc_64,Series B,18636136,2021-11-28,447267276,False
investment_49,startup_15,vc_70,Series A,5643111,2021-09-02,186222685,True
investment_50,startup_15,vc_47,Series B,5643111,2021-09-02,203152020,False
investment_51,startup_15,vc_60,Pre-seed,5643111,2021-09-02,118505345,False
investment_52,startup_16,vc_131,Series A,23377430,2024-01-02,327284020,True
investment_53,startup_16,vc_83,Pre-seed,23377430,2024-01-02,467548600,False
investment_54,startup_16,vc_56,Pre-seed,19512867,2025-04-03,390257340,True
investment_55,startup_16,vc_19,Series C,19512867,2025-04-03,312205872,False
investment_56,startup_16,vc_147,Seed,34836556,2023-12-13,383202116,True
investment_57,startup_16,vc_146,Pre-seed,3562673,2021-06-11,21376038,True
investment_58,startup_17,vc_19,Series B,5360693,2025-04-09,53606930,True
investment_59,startup_17,vc_53,Series B,5360693,2025-04-09,64328316,False
investment_60,startup_18,vc_45,Series C,9840776,2019-11-07,78726208,True
investment_61,startup_18,vc_80,Series B,15989682,2016-08-11,239845235,True
investment_62,startup_18,vc_61,Series A,15989682,2016-08-11,383752376,False
investment_63,startup_18,vc_3,Series C,15989682,2016-08-11,191876188,False
investment_64,startup_18,vc_31,Series A,2619097,2018-01-21,36667365,True
investment_65,startup_18,vc_45,Series A,2619097,2018-01-21,52381950,False
investment_66,startup_19,vc_85,Series B,5260010,2025-02-25,36820070,True
investment_67,startup_19,vc_90,Series B,20616204,2025-01-23,164929632,True
investment_68,startup_19,vc_120,Series B,4341907,2025-01-02,95521954,True
investment_69,startup_19,vc_67,Pre-seed,4341907,2025-01-02,60786698,False
investment_70,startup_20,vc_98,Series C,15164481,2015-10-23,318454115,True
investment_71,startup_20,vc_75,Series A,15164481,2015-10-23,500427895,False
investment_72,startup_20,vc_119,Seed,15164481,2015-10-23,272960670,False
investment_73,startup_20,vc_94,Series A,14699211,2019-08-25,529171608,True
investment_74,startup_20,vc_31,Series A,14699211,2019-08-25,220488170,False
investment_75,startup_20,vc_37,Seed,14699211,2019-08-25,264585804,False
investment_76,startup_20,vc_77,Series C,1528981,2013-11-16,21405741,True
investment_77,startup_20,vc_24,Series B,1528981,2013-11-16,12231852,False
investment_78,startup_21,vc_51,Pre-seed,49321055,2017-09-02,542531605,True
investment_79,startup_21,vc_129,Series B,5404818,2024-01-29,59452998,True
investment_80,startup_21,vc_56,Pre-seed,22379978,2017-10-06,201419802,True
investment_81,startup_21,vc_34,Series C,9251891,2018-12-01,166534047,True
investment_82,startup_21,vc_33,Series C,9251891,2018-12-01,129526481,False
investment_83,startup_23,vc_13,Series C,15525294,2021-07-15,62101176,True
investment_84,startup_23,vc_62,Series B,30497284,2019-09-15,213480988,True
investment_85,startup_24,vc_80,Seed,24606049,2015-04-15,590545188,True
investment_86,startup_24,vc_86,Series C,24606049,2015-04-15,344484693,False
investment_87,startup_24,vc_72,Series C,4270106,2017-09-26,34160852,True
investment_88,startup_24,vc_75,Pre-seed,4270106,2017-09-26,93942343,False
investment_89,startup_25,vc_18,Series C,24942804,2016-02-18,548741688,True
investment_90,startup_25,vc_92,Series B,24942804,2016-02-18,299313648,False
investment_91,startup_25,vc_127,Series C,19671199,2014-12-17,314739192,True
investment_92,startup_25,vc_2,Series A,19671199,2014-12-17,275396793,False
investment_93,startup_26,vc_134,Pre-seed,5375824,2023-05-22,112892311,True
investment_94,startup_26,vc_83,Series C,5375824,2023-05-22,80637365,False
investment_95,startup_26,vc_106,Series C,5375824,2023-05-22,96764838,False
investment_96,startup_26,vc_16,Seed,19284090,2018-06-21,308545440,True
investment_97,startup_26,vc_13,Pre-seed,19284090,2018-06-21,385681800,False
investment_98,startup_27,vc_53,Series A,3710369,2018-11-09,55655540,True
investment_99,startup_27,vc_90,Seed,3710369,2018-11-09,89048864,False
investment_100,startup_27,vc_25,Series B,3710369,2018-11-09,77917756,False
investment_101,startup_28,vc_146,Seed,14982548,2018-05-19,89895288,True
investment_102,startup_29,vc_12,Series A,20523647,2021-12-23,102618235,True
investment_103,startup_29,vc_142,Series B,19063419,2019-06-16,305014712,True
investment_104,startup_29,vc_99,Pre-seed,19063419,2019-06-16,419395229,False
investment_105,startup_29,vc_56,Series A,2060964,2024-12-28,74194728,True
investment_106,startup_29,vc_23,Series B,2060964,2024-12-28,37097364,False
investment_107,startup_29,vc_14,Series A,2060964,2024-12-28,49463152,False
investment_108,startup_31,vc_110,Series C,17645115,2024-12-15,194096265,True
investment_109,startup_31,vc_40,Series B,16000826,2024-03-27,176009086,True
investment_110,startup_32,vc_63,Series B,19112982,2023-09-23,344033676,True
investment_111,startup_32,vc_149,Series A,19112982,2023-09-23,229355784,False
investment_112,startup_32,vc_27,Series A,11873510,2023-07-17,59367550,True
investment_113,startup_32,vc_14,Pre-seed,5062199,2025-05-26,91119588,True
investment_114,startup_32,vc_67,Series B,5062199,2025-05-26,167052578,False
investment_115,startup_32,vc_64,Pre-seed,5062199,2025-05-26,106306186,False
investment_116,startup_35,vc_98,Seed,6898611,2024-01-14,55188888,True
investment_117,startup_35,vc_117,Pre-seed,7011664,2023-11-07,126209952,True
investment_118,startup_35,vc_140,Series B,7011664,2023-11-07,231384912,False
investment_119,startup_35,vc_133,Series C,7011664,2023-11-07,168279936,False
investment_120,startup_36,vc_31,Series A,23046352,2022-11-10,161324464,True
investment_121,startup_36,vc_73,Pre-seed,27620806,2020-06-01,110483224,True
investment_122,startup_38,vc_45,Series B,48563264,2020-05-09,388506112,True
investment_123,startup_38,vc_17,Seed,22116473,2024-03-13,176931784,True
investment_124,startup_38,vc_84,Series C,22351394,2024-04-20,134108364,True
investment_125,startup_39,vc_99,Series A,7436331,2024-11-06,267707928,True
investment_126,startup_39,vc_141,Series C,7436331,2024-11-06,89235976,False
investment_127,startup_39,vc_127,Series C,7436331,2024-11-06,111544970,False
investment_128,startup_40,vc_89,Series B,45329805,2016-09-22,543957660,True
investment_129,startup_41,vc_116,Pre-seed,41856511,2025-01-31,418565110,True
investment_130,startup_41,vc_106,Seed,24930234,2020-04-29,598325628,True
investment_131,startup_41,vc_118,Series C,24930234,2020-04-29,498604690,False
investment_132,startup_41,vc_1,Seed,46763133,2023-12-10,467631330,True
investment_133,startup_41,vc_74,Series B,1657157,2021-12-12,16571575,True
investment_134,startup_41,vc_113,Series A,1657157,2021-12-12,23200205,False
investment_135,startup_42,vc_61,Series C,6663618,2020-11-04,179917695,True
investment_136,startup_42,vc_121,Series B,6663618,2020-11-04,239890260,False
investment_137,startup_42,vc_119,Series A,6663618,2020-11-04,159926840,False
investment_138,startup_43,vc_80,Series A,21714776,2020-06-24,477725072,True
investment_139,startup_43,vc_146,Series B,21714776,2020-06-24,260577312,False
investment_140,startup_43,vc_52,Series B,1543851,2020-09-23,41683977,True
investment_141,startup_43,vc_39,Seed,1543851,2020-09-23,41683977,False
investment_142,startup_43,vc_79,Series A,1543851,2020-09-23,55578636,False
investment_143,startup_44,vc_31,Series C,3117762,2025-04-23,112239456,True
investment_144,startup_44,vc_122,Series A,3117762,2025-04-23,37413152,False
investment_145,startup_44,vc_39,Pre-seed,3117762,2025-04-23,102886168,False
investment_146,startup_46,vc_66,Series B,23713389,2025-05-08,474267790,True
investment_147,startup_46,vc_93,Series C,23713389,2025-05-08,189707116,False
investment_148,startup_48,vc_123,Series C,3806021,2018-05-26,34254189,True
investment_149,startup_48,vc_67,Series B,31155773,2022-06-19,249246184,True
investment_150,startup_49,vc_33,Seed,6282164,2020-08-07,169618437,True
investment_151,startup_49,vc_81,Series C,6282164,2020-08-07,131925451,False
investment_152,startup_49,vc_90,Seed,6282164,2020-08-07,188464930,False
investment_153,startup_50,vc_83,Seed,18266138,2023-09-09,146129104,True
investment_154,startup_52,vc_81,Series B,3957316,2025-05-20,130591428,True
investment_155,startup_52,vc_8,Pre-seed,3957316,2025-05-20,106847532,False
investment_156,startup_52,vc_91,Pre-seed,3957316,2025-05-20,71231688,False
investment_157,startup_53,vc_14,Pre-seed,4225311,2021-02-01,42253110,True
investment_158,startup_54,vc_82,Series A,28274306,2023-12-19,254468754,True
investment_159,startup_55,vc_47,Series C,19527738,2025-06-01,214805118,True
investment_160,startup_55,vc_57,Series C,35739654,2025-05-27,357396540,True
investment_161,startup_55,vc_84,Pre-seed,20379147,2025-05-28,285308058,True
investment_162,startup_55,vc_27,Series A,20379147,2025-05-28,244549764,False
investment_163,startup_57,vc_47,Series B,12973210,2024-09-16,155678520,True
investment_164,startup_57,vc_141,Seed,12973210,2024-09-16,389196300,False
investment_165,startup_57,vc_113,Series B,12973210,2024-09-16,389196300,False
investment_166,startup_58,vc_125,Series B,4539487,2022-12-26,163421532,True
investment_167,startup_58,vc_1,Seed,4539487,2022-12-26,122566149,False
investment_168,startup_58,vc_30,Series C,4539487,2022-12-26,163421532,False
investment_169,startup_59,vc_83,Seed,1804220,2020-08-17,43301292,True
investment_170,startup_59,vc_73,Series B,1804220,2020-08-17,14433764,False
investment_171,startup_59,vc_21,Series B,3114947,2022-11-27,65413894,True
investment_172,startup_59,vc_53,Series B,3114947,2022-11-27,84103578,False
investment_173,startup_59,vc_91,Pre-seed,3114947,2022-11-27,65413894,False
investment_174,startup_59,vc_125,Series B,1569193,2024-06-09,51783391,True
investment_175,startup_59,vc_149,Series B,1569193,2024-06-09,32953067,False
investment_176,startup_59,vc_74,Seed,1569193,2024-06-09,42368229,False
investment_177,startup_61,vc_8,Series B,10845066,2016-12-01,65070396,True
investment_178,startup_61,vc_116,Series A,15803635,2022-12-23,142232715,True
investment_179,startup_62,vc_122,Series C,4190267,2022-08-10,50283204,True
investment_180,startup_62,vc_10,Series A,4190267,2022-08-10,100566408,False
investment_181,startup_64,vc_68,Series B,9236882,2025-01-06,249395832,True
investment_182,startup_64,vc_46,Seed,9236882,2025-01-06,193974536,False
investment_183,startup_64,vc_105,Pre-seed,9236882,2025-01-06,193974536,False
investment_184,startup_65,vc_98,Series A,46673364,2020-08-21,373386912,True
investment_185,startup_65,vc_9,Pre-seed,2209222,2024-03-31,33138330,True
investment_186,startup_65,vc_17,Series B,2209222,2024-03-31,26510664,False
investment_187,startup_65,vc_18,Seed,2209222,2024-03-31,46393662,False
investment_188,startup_69,vc_36,Series B,14059356,2024-05-19,253068417,True
investment_189,startup_69,vc_39,Seed,14059356,2024-05-19,281187130,False
investment_190,startup_70,vc_96,Series C,47770147,2018-02-02,238850735,True
investment_191,startup_70,vc_60,Series A,15285823,2022-07-27,458574700,True
investment_192,startup_70,vc_27,Series C,15285823,2022-07-27,504432170,False
investment_193,startup_70,vc_86,Pre-seed,15285823,2022-07-27,275144820,False
investment_194,startup_72,vc_51,Pre-seed,10544987,2021-01-20,84359896,True
investment_195,startup_72,vc_63,Series A,10544987,2021-01-20,84359896,False
investment_196,startup_72,vc_64,Seed,15666433,2018-12-04,125331464,True
investment_197,startup_72,vc_94,Series B,15666433,2018-12-04,344661526,False
investment_198,startup_72,vc_105,Series C,16468739,2022-10-02,263499824,True
investment_199,startup_72,vc_8,Series B,16468739,2022-10-02,263499824,False
investment_200,startup_74,vc_79,Series A,14124997,2024-07-06,211874960,True
investment_201,startup_74,vc_114,Series C,14124997,2024-07-06,211874960,False
investment_202,startup_74,vc_36,Series C,14124997,2024-07-06,338999936,False
investment_203,startup_74,vc_48,Pre-seed,2966258,2025-02-14,14831290,True
investment_204,startup_75,vc_143,Pre-seed,15209405,2025-05-25,547538580,True
investment_205,startup_75,vc_30,Pre-seed,15209405,2025-05-25,273769290,False
investment_206,startup_75,vc_125,Seed,15209405,2025-05-25,501910365,False
investment_207,startup_75,vc_95,Seed,9341136,2021-02-06,280234100,True
investment_208,startup_75,vc_17,Pre-seed,9341136,2021-02-06,280234100,False
investment_209,startup_75,vc_114,Series A,9341136,2021-02-06,168140460,False
investment_210,startup_76,vc_0,Series A,3897530,2012-10-29,19487650,True
investment_211,startup_76,vc_41,Seed,12650359,2015-04-29,151804308,True
investment_212,startup_76,vc_70,Series C,12650359,2015-04-29,126503590,False
investment_213,startup_77,vc_143,Pre-seed,45072535,2012-08-15,180290140,True
investment_214,startup_77,vc_100,Series C,1494419,2021-10-06,10460933,True
investment_215,startup_78,vc_39,Series B,29845991,2022-08-18,179075946,True
investment_216,startup_78,vc_37,Series A,8679316,2015-11-16,60755212,True
investment_217,startup_78,vc_138,Seed,36889773,2021-01-17,221338638,True
investment_218,startup_81,vc_62,Series B,45078609,2024-11-16,270471654,True
investment_219,startup_82,vc_71,Pre-seed,5089720,2016-04-03,76345800,True
investment_220,startup_82,vc_1,Series B,5089720,2016-04-03,183229920,False
investment_221,startup_82,vc_6,Series B,5089720,2016-04-03,91614960,False
investment_222,startup_82,vc_75,Pre-seed,9425233,2023-06-20,150803728,True
investment_223,startup_82,vc_88,Pre-seed,9425233,2023-06-20,113102796,False
investment_224,startup_87,vc_16,Series C,27833699,2020-04-24,278336990,True
investment_225,startup_87,vc_142,Pre-seed,16551735,2012-05-18,595862472,True
investment_226,startup_87,vc_149,Series C,16551735,2012-05-18,198620824,False
investment_227,startup_87,vc_116,Series B,16551735,2012-05-18,248276030,False
investment_228,startup_88,vc_101,Pre-seed,3988069,2025-04-30,143570496,True
investment_229,startup_88,vc_49,Pre-seed,3988069,2025-04-30,95713664,False
investment_230,startup_88,vc_65,Series B,3988069,2025-04-30,143570496,False
investment_231,startup_89,vc_7,Pre-seed,14941907,2024-01-17,358605776,True
investment_232,startup_89,vc_99,Series A,14941907,2024-01-17,493082942,False
investment_233,startup_89,vc_138,Series C,14941907,2024-01-17,179302888,False
investment_234,startup_94,vc_75,Series B,6823145,2022-09-23,61408305,True
investment_235,startup_94,vc_75,Pre-seed,21983387,2021-05-08,307767425,True
investment_236,startup_94,vc_13,Series B,21983387,2021-05-08,483634525,False
investment_237,startup_94,vc_80,Series A,11210558,2024-10-02,112105585,True
investment_238,startup_94,vc_36,Series C,11210558,2024-10-02,156947819,False
investment_239,startup_95,vc_1,Series A,6479270,2025-01-26,71271970,True
investment_240,startup_95,vc_131,Series C,4084554,2024-08-31,81691090,True
investment_241,startup_95,vc_142,Seed,4084554,2024-08-31,81691090,False
investment_242,startup_95,vc_42,Seed,7010084,2024-05-21,84121008,True
investment_243,startup_95,vc_99,Seed,7010084,2024-05-21,126181512,False
investment_244,startup_98,vc_24,Series C,4402962,2025-01-14,105671088,True
investment_245,startup_98,vc_92,Series B,4402962,2025-01-14,105671088,False
investment_246,startup_98,vc_38,Series A,23324040,2024-11-03,279888486,True
investment_247,startup_98,vc_39,Series A,23324040,2024-11-03,279888486,False
investment_248,startup_98,vc_112,Pre-seed,14689738,2024-12-03,440692150,True
investment_249,startup_98,vc_129,Seed,14689738,2024-12-03,484761365,False
investment_250,startup_98,vc_52,Pre-seed,14689738,2024-12-03,352553720,False
investment_251,startup_101,vc_117,Seed,32562962,2023-12-14,227940734,True
investment_252,startup_102,vc_58,Series A,7031978,2022-05-05,56255824,True
investment_253,startup_103,vc_80,Seed,44519359,2023-01-05,534232308,True
investment_254,startup_103,vc_4,Series C,3817655,2022-05-20,91623732,True
investment_255,startup_103,vc_95,Series C,3817655,2022-05-20,53447177,False
investment_256,startup_103,vc_130,Pre-seed,28375883,2024-02-06,255382947,True
investment_257,startup_103,vc_119,Pre-seed,31295423,2025-04-25,125181692,True
investment_258,startup_106,vc_13,Pre-seed,46441420,2023-08-01,417972780,True
investment_259,startup_106,vc_132,Series C,20395637,2023-06-22,448704025,True
investment_260,startup_106,vc_16,Series B,20395637,2023-06-22,367121475,False
investment_261,startup_108,vc_56,Pre-seed,17616299,2022-03-26,281860784,True
investment_262,startup_108,vc_90,Seed,17616299,2022-03-26,211395588,False
investment_263,startup_108,vc_131,Series A,34654127,2022-05-25,207924762,True
investment_264,startup_108,vc_74,Seed,13072399,2024-05-20,196085985,True
investment_265,startup_108,vc_45,Series A,13072399,2024-05-20,352954773,False
investment_266,startup_108,vc_99,Series C,13072399,2024-05-20,431389167,False
investment_267,startup_109,vc_54,Series B,1351533,2021-02-21,44600611,True
investment_268,startup_109,vc_55,Series C,1351533,2021-02-21,20273005,False
investment_269,startup_109,vc_123,Series B,1351533,2021-02-21,40546010,False
investment_270,startup_109,vc_102,Pre-seed,25946565,2019-11-07,207572520,True
investment_271,startup_109,vc_123,Series A,11467046,2021-10-20,229340930,True
investment_272,startup_109,vc_73,Series B,11467046,2021-10-20,229340930,False
investment_273,startup_109,vc_106,Seed,8047536,2022-12-29,64380292,True
investment_274,startup_109,vc_129,Seed,8047536,2022-12-29,64380292,False
investment_275,startup_111,vc_44,Series B,4625494,2018-10-23,74007904,True
investment_276,startup_111,vc_148,Series A,4625494,2018-10-23,92509880,False
investment_277,startup_112,vc_61,Pre-seed,4554541,2025-01-26,81981744,True
investment_278,startup_112,vc_79,Series B,4554541,2025-01-26,109308992,False
investment_279,startup_112,vc_52,Series B,4554541,2025-01-26,109308992,False
investment_280,startup_115,vc_132,Series A,42117683,2024-04-03,252706098,True
investment_281,startup_115,vc_138,Series B,1626100,2022-01-31,19513206,True
investment_282,startup_115,vc_20,Series A,1626100,2022-01-31,29269809,False
investment_283,startup_117,vc_26,Pre-seed,4743078,2024-05-30,113833880,True
investment_284,startup_117,vc_69,Pre-seed,4743078,2024-05-30,156521585,False
investment_285,startup_117,vc_0,Series B,4743078,2024-05-30,170750820,False
investment_286,startup_118,vc_17,Series C,3062268,2015-04-22,36747216,True
investment_287,startup_118,vc_86,Series C,8616600,2015-09-01,206798416,True
investment_288,startup_118,vc_59,Pre-seed,8616600,2015-09-01,310197624,False
investment_289,startup_118,vc_28,Pre-seed,8616600,2015-09-01,180948614,False
investment_290,startup_118,vc_49,Series A,18644552,2015-11-27,261023735,True
investment_291,startup_118,vc_106,Pre-seed,18644552,2015-11-27,335601945,False
investment_292,startup_118,vc_129,Series A,15060032,2023-01-08,150600320,True
investment_293,startup_118,vc_147,Series B,15060032,2023-01-08,120480256,False
investment_294,startup_120,vc_45,Pre-seed,17255909,2019-04-20,69023636,True
investment_295,startup_121,vc_70,Series B,274813,2021-03-26,6595528,True
investment_296,startup_121,vc_106,Series B,274813,2021-03-26,8244410,False
investment_297,startup_121,vc_97,Series C,274813,2021-03-26,8244410,False
investment_298,startup_121,vc_141,Series B,27486722,2024-02-24,247380498,True
investment_299,startup_121,vc_17,Pre-seed,9583991,2016-03-01,210847813,True
investment_300,startup_121,vc_37,Series A,9583991,2016-03-01,153343864,False
investment_301,startup_121,vc_100,Series C,11290612,2022-02-26,225812250,True
investment_302,startup_121,vc_43,Series B,11290612,2022-02-26,180649800,False
investment_303,startup_122,vc_84,Pre-seed,19962302,2025-03-28,199623020,True
investment_304,startup_123,vc_11,Series B,7809681,2024-12-14,257719495,True
investment_305,startup_123,vc_137,Seed,7809681,2024-12-14,257719495,False
investment_306,startup_123,vc_52,Seed,7809681,2024-12-14,210861405,False
investment_307,startup_123,vc_108,Series C,1471576,2024-02-23,26488368,True
investment_308,startup_123,vc_140,Series C,1471576,2024-02-23,11772608,False
investment_309,startup_123,vc_106,Seed,21279957,2021-09-07,340479320,True
investment_310,startup_123,vc_105,Seed,21279957,2021-09-07,255359490,False
investment_311,startup_123,vc_90,Seed,17876580,2022-03-25,143012640,True
investment_312,startup_123,vc_25,Series A,17876580,2022-03-25,429037920,False
investment_313,startup_124,vc_134,Series B,18060953,2022-10-17,216731436,True
investment_314,startup_124,vc_59,Series A,1761664,2018-04-11,35233280,True
investment_315,startup_124,vc_134,Pre-seed,1761664,2018-04-11,31709952,False
investment_316,startup_126,vc_120,Seed,8674856,2024-04-27,182171990,True
investment_317,startup_126,vc_4,Pre-seed,8674856,2024-04-27,260245700,False
investment_318,startup_126,vc_127,Series A,8674856,2024-04-27,286270270,False
investment_319,startup_126,vc_21,Pre-seed,17029084,2015-10-13,136232676,True
investment_320,startup_126,vc_91,Series A,17029084,2015-10-13,136232676,False
investment_321,startup_127,vc_42,Series C,5034495,2017-12-28,90620910,True
investment_322,startup_127,vc_17,Series A,5034495,2017-12-28,80551920,False
investment_323,startup_127,vc_89,Series A,4258638,2019-03-10,34069108,True
investment_324,startup_127,vc_31,Pre-seed,4258638,2019-03-10,93690047,False
investment_325,startup_128,vc_86,Seed,14562994,2025-04-25,87377964,True
investment_326,startup_128,vc_121,Series C,7741788,2025-06-01,185802912,True
investment_327,startup_128,vc_139,Series C,7741788,2025-06-01,92901456,False
investment_328,startup_129,vc_42,Seed,1827045,2023-08-14,49330233,True
investment_329,startup_129,vc_10,Seed,1827045,2023-08-14,65773644,False
investment_330,startup_129,vc_67,Series C,1827045,2023-08-14,60292507,False
investment_331,startup_130,vc_137,Seed,1794859,2024-11-03,64614948,True
investment_332,startup_130,vc_58,Pre-seed,1794859,2024-11-03,37692053,False
investment_333,startup_130,vc_56,Pre-seed,1794859,2024-11-03,64614948,False
investment_334,startup_130,vc_14,Series A,3525687,2024-03-05,52885315,True
investment_335,startup_130,vc_75,Series A,3525687,2024-03-05,105770630,False
investment_336,startup_130,vc_144,Series B,3525687,2024-03-05,105770630,False
investment_337,startup_131,vc_95,Pre-seed,2653309,2014-10-07,18573163,True
investment_338,startup_132,vc_35,Series B,14152899,2021-03-04,113223192,True
investment_339,startup_133,vc_129,Series C,3829736,2018-09-06,103402890,True
investment_340,startup_133,vc_37,Pre-seed,3829736,2018-09-06,114892100,False
investment_341,startup_133,vc_35,Pre-seed,3829736,2018-09-06,114892100,False
investment_342,startup_135,vc_125,Pre-seed,29443970,2020-05-11,117775880,True
investment_343,startup_135,vc_130,Pre-seed,9714846,2022-05-21,233156304,True
investment_344,startup_135,vc_137,Series C,9714846,2022-05-21,233156304,False
investment_345,startup_135,vc_68,Series C,9714846,2022-05-21,204011766,False
investment_346,startup_135,vc_10,Series A,12065395,2024-08-14,253373309,True
investment_347,startup_135,vc_126,Series A,12065395,2024-08-14,289569496,False
investment_348,startup_135,vc_40,Pre-seed,12065395,2024-08-14,289569496,False
investment_349,startup_137,vc_80,Series C,15314860,2023-01-20,245037768,True
investment_350,startup_137,vc_113,Pre-seed,15314860,2023-01-20,306297210,False
investment_351,startup_137,vc_70,Series A,17863261,2023-07-24,250085654,True
investment_352,startup_137,vc_9,Series B,17863261,2023-07-24,428718264,False
investment_353,startup_138,vc_30,Series C,602887,2024-11-26,14469304,True
investment_354,startup_138,vc_114,Series B,602887,2024-11-26,7234652,False
investment_355,startup_138,vc_104,Series A,602887,2024-11-26,12660641,False
investment_356,startup_138,vc_146,Series A,35348883,2025-02-11,318139947,True
investment_357,startup_138,vc_144,Series C,1755239,2024-02-23,21062868,True
investment_358,startup_139,vc_142,Series B,5205813,2022-08-13,93704634,True
investment_359,startup_139,vc_29,Series A,5205813,2022-08-13,41646504,False
investment_360,startup_140,vc_1,Series C,38207881,2016-10-19,343870929,True
investment_361,startup_140,vc_141,Series A,14991576,2024-06-01,269848368,True
investment_362,startup_140,vc_48,Series B,14991576,2024-06-01,359797824,False
investment_363,startup_140,vc_34,Series B,8913302,2021-07-07,187179349,True
investment_364,startup_140,vc_146,Seed,8913302,2021-07-07,213919256,False
investment_365,startup_140,vc_45,Seed,8913302,2021-07-07,106959628,False
investment_366,startup_140,vc_142,Pre-seed,9757251,2020-12-11,234174036,True
investment_367,startup_140,vc_78,Pre-seed,9757251,2020-12-11,136601521,False
investment_368,startup_141,vc_66,Series A,15038683,2023-02-26,360928392,True
investment_369,startup_141,vc_98,Series B,15038683,2023-02-26,300773660,False
investment_370,startup_142,vc_83,Series A,3091782,2020-10-06,37101384,True
investment_371,startup_142,vc_129,Seed,3091782,2020-10-06,74202768,False
investment_372,startup_144,vc_43,Pre-seed,7769650,2024-05-26,186471600,True
investment_373,startup_144,vc_56,Series A,7769650,2024-05-26,163162650,False
investment_374,startup_144,vc_110,Series A,7769650,2024-05-26,139853700,False
investment_375,startup_144,vc_134,Pre-seed,13233329,2020-03-02,317599908,True
investment_376,startup_144,vc_103,Series B,13233329,2020-03-02,238199931,False
investment_377,startup_146,vc_106,Pre-seed,7826428,2025-04-22,211313556,True
investment_378,startup_146,vc_108,Pre-seed,7826428,2025-04-22,211313556,False
investment_379,startup_146,vc_1,Series A,7826428,2025-04-22,281751408,False
